f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Mounted forest patrol examines campfire site,"Benedict, M.S.",1937,,A man squats near an apparent campsite while holding the reins of his horse. The site is along the Middle Fork of the Salmon River near Loon Creak.,national forests; horses; rivers; riders; rangers; patrol; campsite; camp fire,"Salmon-Challis National Forest, Idaho",,,44.542747,-114.844072,,363459,United States Forest Service,IntermtnPics98,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,553,archivalidaho553,image,archivalidaho553.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho553.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho553_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho553_th.jpg,
"Trapper's cabin, Salmon River",,1935,,Photo text: 'Typical trappers cabin on Salmon River. Not much for looks but serviceable.' This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.,trappers; animals; hunters; coyote killers; predation; predators; cabins; log; buildings; national forests,"Payette National Forest, Idaho",,,45.435178,-115.977846,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 41,,,2017DC63,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,554,archivalidaho554,image,archivalidaho554.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho554.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho554_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho554_th.jpg,
"Potato field, near Orofino",,1937,yes,"Photo caption: 'Potatoes growing in the Community gardens, near Orofino.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; garden; field,"Orofino, Idaho; Nez Perce Reservation, Idaho",,,46.47935,-116.25514,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 10,,,NARA16DC073a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,555,archivalidaho555,image,archivalidaho555.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho555.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho555_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho555_th.jpg,
"Bear Creek Ranger Station, main building, Selway National Forest",,1929,,"Bear Creek Ranger Station, main building, Selway National Forest",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Bitterroot National Forest, Idaho; Selway-Bitterroot Wilderness, Montana",,,45.95632,-114.3711,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics3,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,556,archivalidaho556,image,archivalidaho556.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho556.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho556_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho556_th.jpg,
Garden inspection,,1937,yes,Photo caption: 'Farm Aid Wheeler and Supervisor Bristol make an inspection of the garden and corn patch of Ella Frank of Kamiah.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; garden,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 9,,,NARA16DC072,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,557,archivalidaho557,image,archivalidaho557.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho557.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho557_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho557_th.jpg,
"CCC Camp from Bungalow Ranger Station, North Fork of Clearwater River",,1935,yes,"CCC Camp from Bungalow Ranger Station, North Fork of Clearwater River",ranger stations; Civilian Conservation Corps; CCC; camps; national forests; wilderness; rivers,"Clearwater National Forest, Idaho; Nez Perce-Clearwater National Forest, Idaho",,,46.628647,-115.506734,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics28,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,558,archivalidaho558,image,archivalidaho558.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho558.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho558_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho558_th.jpg,
"Stumps Root claim clearing, possible false homestead claim, Marble Creek",,1909,,"Photo text: 'The clearing on the claim of George Root, May, 29, 1909, soon after he had sold his rights to the scrip for $8000. He had been in conflict with the scrip location.' Note: Marble Creek region homesteads at this time were often part of a homesteads fraud being documented by the US Forest Service.",cabin; claim; pioneer; settlers; homesteads; homesteaders; false; fake; USFS; lawsuit,"St. Joseph National Forest, Idaho",Marble Creek,,47.25075,-116.02043,NARA College Park RG 95; Box 51,,United States Forest Service,NARA0815DC22,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,559,archivalidaho559,image,archivalidaho559.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho559.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho559_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho559_th.jpg,
Bonanza on Yankee Fork,"Cox, W.T.",1904,,"This image is part of a document titled 'Report upon the proposed Salmon River Forest and additions to Sawtooth, Bitterroot, and Lemhi Reserves, Idaho.' Collected by William T. Cox, 1904.",mountains; ranges; peaks; points; basins; valleys; forests; landscapes; panoramas; national forests,"Stanley, Idaho; Salmon-Challis National Forest, Idaho; Sawtooth National Forest, Idaho",,,44.369868,-114.7275,,57612,United States Forest Service,OGDEN9,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,560,archivalidaho560,image,archivalidaho560.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho560.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho560_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho560_th.jpg,
"Powell Ranger Station, log cabin and tents",,1954,,"Photo text: 'Sept. 13, 1954.'",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Nez Perce-Clearwater National Forest, Idaho",,,46.509884,-114.711216,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics13b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,561,archivalidaho561,image,archivalidaho561.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho561.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho561_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho561_th.jpg,
Bulldozer Operator clearing the Tramway Trail,"Wing, H.R.",1941,yes,"Photo text: 'Enrollee, Machine Operator, James Taylor 'dozing out the Tramway Reserve Truck Trail, Kamiah, Idaho. This reserve is on the Nez Perce Reservation.' Note: This image is part of a narrative pictoral report to accompany quarterly enrollee program report.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; machinery; trail; trail work,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 1004 CCC - Indian Division; Box 4; North Idaho,,,NARA16DC8,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,562,archivalidaho562,image,archivalidaho562.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho562.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho562_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho562_th.jpg,
Middle Fork of the Salmon River below Pistol Creek,"Benedict, M.S.",1937,,The middle fork of the Salmon River below Pistol Creek in the Salmon-Challis National Forest.,national forests; creeks; rivers,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.719149,-115.1438,,363468,United States Forest Service,IntermtnPics17,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,563,archivalidaho563,image,archivalidaho563.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho563.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho563_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho563_th.jpg,
"North section of Rupert, Idaho",F.C.H.,1905,,"Photo text: 'Northerly part of Rupert, From northerly end of depot grounds looking west.' Note: This image is part of records for Bureau of Reclamation projects.",Bureau of Reclamation; train stations; trains; depots; travel; fields,"Rupert, Idaho",,,42.609349,-113.680644,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 109,,,NARA16DC217,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,564,archivalidaho564,image,archivalidaho564.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho564.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho564_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho564_th.jpg,
"Red River Ranger Station, buildings and fences",,1935,yes,"Red River Ranger Station, buildings and fences",ranger stations; guard stations; log; buildings; cabins; national forests; cars,"Nez Perce-Clearwater National Forest, Idaho; Nez Perce-Clearwater National Forest, Idaho",,,45.710015,-115.343499,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,366238,United States Forest Service,R1EngrPics37,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,565,archivalidaho565,image,archivalidaho565.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho565.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho565_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho565_th.jpg,
"Sam Water house (old), Craigmont",,1937,yes,"Old house of Same waters, Craigmont. Replaced with new house. This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; house; repair; buildings; construction,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 53,,,NARA16DC099b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,566,archivalidaho566,image,archivalidaho566.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho566.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho566_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho566_th.jpg,
"Warm Lake Plunge, swimming pool",,1940,yes,This is image is part of a photo album dated in the 1930's.,swimming; pools; swimmers; diving; diving; board; trucks; vehicles; recreation; people; national forests,"Payette National Forest, Idaho",,,44.654382,-115.667998,,406930,United States Forest Service,OGDEN39,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,567,archivalidaho567,image,archivalidaho567.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho567.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho567_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho567_th.jpg,
Junction of Middle Fork and main Salmon Rivers,"Bieler, P.S.",1940,,Photo text: 'Middle Fork of Salmon River where it joins the muddy waters of the Salmon River along which much placer mining is carried on.',national forests; rivers; landscapes,"Salmon-Challis National Forest, Idaho",,,45.297537,-114.593568,,398447,United States Forest Service,IntermtnPics80,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,568,archivalidaho568,image,archivalidaho568.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho568.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho568_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho568_th.jpg,
Map of Proposed Nez Perce Reservation [text],"Office of Indian Affairs, Dept. of the Interior",1873,,"Text with map of the proposed Nez Perce Indian Reservation in 1873 in the Wallowa Valley, Oregon.",map; reservation; Nez Perce; Indian; division; tribes; reservations; Office of Indian; division Affairs; tribes,"Wallowa Valley, Oregon",,,45.520659,-117.424338,NARA DC; RG 75 E107 Executive Order File Box 2 Wallowa Valley,,,NARA16DC4,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,569,archivalidaho569,image,archivalidaho569.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho569.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho569_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho569_th.jpg,
"Conley Seth House (rear), before repairs",,1937,yes,"Photo caption: 'Conley Seth wanted his house repaired, raised, leveled, and a new floor. Rear view.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; house; repair; buildings; construction,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 48,,,NARA16DC097a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,570,archivalidaho570,image,archivalidaho570.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho570.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho570_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho570_th.jpg,
Aerial View of Middle Fork Peak Lookout,"Prater, L.J.",1965,,Photo text: 'Elevation 9130 feet',national forests; aerials; cookouts; fire lookouts,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness; Crags; Big Horn Crags; Crag country; Crags Recreation Area; lakes,44.962142,-114.655409,,510184,United States Forest Service,IntermtnPics113,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,571,archivalidaho571,image,archivalidaho571.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho571.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho571_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho571_th.jpg,
Forest Service River Patrol boat above Salmon Falls,"Prater, L.J.",1964,,"Photo text: 'July 30, 1964.'",national forest; rivers; boats; patrol; forest service; rapids; people,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Middle Fork of Salmon River; Middle Fork; rafting; boat; rapids; Salmon River; forest service river patrol,45.498558,-114.999106,,,United States Forest Service,IntermtnPics128,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,572,archivalidaho572,image,archivalidaho572.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho572.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho572_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho572_th.jpg,
Field party spreading poisoned grain,,1936,yes,Photo text: 'Indian field party distributing poisoned grain in ground squirrel control work on the Fort Hall Indian Reservation.' This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.,reservations; tribes; agriculture; pesticides; mixing stations; extension; predations; poison,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 39,,,2017DC29b,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,573,archivalidaho573,image,archivalidaho573.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho573.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho573_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho573_th.jpg,
"Cottonwood Camp, Grave Creek",,1937,yes,Photo text: 'Cottonwood Camp - Camp and construction scenes on Graves Creek farm-to-market road in Idaho County. Single men's camp.' Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; camps; roads; exteriors; buildings; national forests,"Cottonwood, Idaho",,,45.992141,-116.358584,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC183,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,574,archivalidaho574,image,archivalidaho574.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho574.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho574_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho574_th.jpg,
Ranger Lake,"McDonald, C.H.",1958,,Photo text: 'Ranger Lake - Head of Big Creek Canyon - St. Mary's Peak at right - from Maude Pass - in Bitterroot Wilderness area.' This image is part of a series recording trail work and outdoor education in the Bitterroot National Forest.,national forests; passes; groups; trails; lakes,"Bitterroot National Forest, Montana; Bitterroot National Forest, Idaho",,,46.465817,-114.415423,,,United States Forest Service,RG95JK10,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,575,archivalidaho575,image,archivalidaho575.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho575.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho575_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho575_th.jpg,
Campbell's Ferry Ranch,,1930,yes,Campbell's Ferry Ranch,national forests; ranches; buildings,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,,45.486123,-115.333052,,,,Sal13Chal112,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,576,archivalidaho576,image,archivalidaho576.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho576.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho576_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho576_th.jpg,
"Range water development, 80' trough","Balderson, V.W.",1940,yes,"Project 126 - Buckskin Spring #1 - 80' trough. Range water development, $4800. A total of 15 developments to date, of which 7 were new developments, 6 were redevelopments, and 2 were through  extensions.' Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; irrigation,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC31,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,577,archivalidaho577,image,archivalidaho577.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho577.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho577_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho577_th.jpg,
"Irrigable lands near Emmett, Idaho",W.J.L.,1903,,"Photo text: 'Taken from a projecting point on mountain about 5 miles NE of Emmett, showing irrigable lands, also canal line under Boise and Emmett project.' Note: This image is part of records for Bureau of Reclamation projects.",Bureau of Reclamation; fields; agriculture; irrigation,"Emmett, Idaho",,,43.92155,-116.56153,NARA College Park; Still Photo Branch; RG 115; JC Boise Project; Box 29,,,NARA16DC229,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,578,archivalidaho578,image,archivalidaho578.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho578.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho578_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho578_th.jpg,
"Rocky Mountains, Lemhi Valley, about 10 miles south of Salmon City","Merriam, C.H.",1890,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; ridges; peaks; points; landscapes,"Challis, Idaho",,,44.661595,-114.127554,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 11,643,United States Fish and Wildlife Service,NARA0815DC47,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,579,archivalidaho579,image,archivalidaho579.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho579.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho579_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho579_th.jpg,
Garden celebration with picnic in a grove,,1937,yes,Photo caption: 'This grove of trees where the annual picnic is held. Celebrating because of a good garden.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; garden; cars; gatherings; celebrations,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 14,,,NARA16DC075a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,580,archivalidaho580,image,archivalidaho580.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho580.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho580_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho580_th.jpg,
Women trainees rivet aircraft body,,1940,yes,"Photo text: 'Riveting, drill press operation, and other skills used in aircraft manufacture, are being taught WPA women trainees in Boise, Idaho, shops in a project sponsored by the U.S. office of Education and (Locally) the Idaho department of Vocational Education.' Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; people; women; airplane; riveters; World War II,"Boise, Idaho",,,43.69073,-115.25369,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC153,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,581,archivalidaho581,image,archivalidaho581.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho581.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho581_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho581_th.jpg,
"Marble Creek in Payette National Forest, rapids","Benedict, M.S.",1937,,Rapids on Marble Creek in the Salmon-Challis National Forest.,national forests; creeks; rapids,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.855479,-115.03863,,363531,United States Forest Service,IntermtnPics14,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,582,archivalidaho582,image,archivalidaho582.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho582.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho582_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho582_th.jpg,
